eQkpaikka;tili;Kausi;period;eur
6000;53315;2020;10;4636,23
6000;53605;2020;10;-76247,64
6000;53655;2020;10;-3524,61
6000;53658;2020;10;1150
6000;5377;2020;10;74,81
6000;5383;2020;10;558
6000;53835;2020;10;11573,22
6000;5389;2020;10;620
6000;8911;2020;10;39825,25
6000;89110;2020;10;907,06
6001;1380;2020;10;1606500
6001;1381;2020;10;10416
6001;5331;2020;10;669,6
6001;5377;2020;10;16,97
6001;8600;2020;10;2630
6001;8790;2020;10;27,38
6001;8800;2020;10;27020
6002;1380;2020;10;6888,63
6002;1381;2020;10;228671,94
6002;53315;2020;10;664,26
6002;5377;2020;10;12,93
6002;8600;2020;10;1570
6002;8790;2020;10;193,55
6002;8800;2020;10;24892
6004;1381;2020;10;2822273,06
6004;34193;2020;10;-7358,72
6004;6800;2020;10;14261,57
6004;8121;2020;10;-19935,25
6004;81210;2020;10;-907,06
6004;8800;2020;10;21060
6007;8121;2020;10;-19890
6007;8800;2020;10;19890
