eQkpaikka;tili;Kausi;period;eur
1001;31023;2020;10;-4869,3
1001;6110;2020;10;-289,02
1002;31023;2020;10;-3987,6
1002;31323;2020;10;-1067,11
1002;6110;2020;10;-234,34
1002;6211;2020;10;1067,11
1003;31023;2020;10;-6515,06
1003;31323;2020;10;-1422,81
1003;6110;2020;10;-321,51
1003;6211;2020;10;1422,81
1005;31023;2020;10;-4201,78
1005;5360;2020;10;2615,32
1005;6110;2020;10;-208,01
1006;31023;2020;10;-9841,07
1006;32133;2020;10;-109,06
1006;6110;2020;10;-283,82
1006;6800;2020;10;109,06
1007;31023;2020;10;-9031,31
1007;6110;2020;10;-230,94
1008;31023;2020;10;-9031,31
1008;32133;2020;10;-82,39
1008;6110;2020;10;-285,18
1008;6800;2020;10;82,39
1009;31023;2020;10;-9031,31
1009;31323;2020;10;-3795,09
1009;6110;2020;10;-425,03
1009;6211;2020;10;3795,09
1010;31023;2020;10;-40714,88
1010;6110;2020;10;-1161,93
1012;31023;2020;10;-13506,95
1012;31323;2020;10;-3220,63
1012;6110;2020;10;-382,09
1012;6211;2020;10;3220,63
1013;31023;2020;10;-28714,91
1013;6110;2020;10;-719,95
1014;31023;2020;10;-40838,45
1014;6110;2020;10;-1046,26
1015;31023;2020;10;-13501,43
1015;6110;2020;10;-521,33
1015;6900;2020;10;312,48
1016;31023;2020;10;-12685,21
1016;6110;2020;10;-373,08
1017;31023;2020;10;-4290,16
1017;31323;2020;10;-18,71
1017;6110;2020;10;-315,37
1017;6800;2020;10;367,5
1018;31023;2020;10;-9072,03
1018;6110;2020;10;-289,52
1022;31023;2020;10;-23500,26
1022;31093;2020;10;-9831,39
1022;5360;2020;10;1858,48
1022;5900;2020;10;425,71
1022;6110;2020;10;-402,09
1022;6800;2020;10;6639,43
1022;6900;2020;10;268126,01
1028;31023;2020;10;-30173,55
1028;6110;2020;10;-904,71
1029;5360;2020;10;917,05
1029;5900;2020;10;268,83
1029;6110;2020;10;-402,08
1029;6800;2020;10;634,66
1031;31023;2020;10;-20006,05
1031;6110;2020;10;-386,93
1031;6900;2020;10;2881,07
1033;31023;2020;10;-9296,72
1033;32133;2020;10;-75,31
1033;6110;2020;10;-297,43
1033;6800;2020;10;75,31
1034;31023;2020;10;-15364,82
1034;6110;2020;10;-376,9
1037;31023;2020;10;-23393,68
1037;6110;2020;10;-888,34
1037;6900;2020;10;233,35
1038;31023;2020;10;-7397,63
1038;31083;2020;10;-158,17
1038;31093;2020;10;-1231,42
1038;32013;2020;10;-129,04
1038;34193;2020;10;-1316,67
1038;6230;2020;10;1295,21
1039;31023;2020;10;-10480,78
