eQkpaikka;tili;Kausi;period;eur
5501;1380;2020;10;-1711574,4
5501;13855;2020;10;-243038,09
5501;1396;2020;10;-610105,33
5501;31023;2020;10;-59556,24
5501;31033;2020;10;-13441,29
5501;31043;2020;10;-5164,06
5501;31083;2020;10;-1609,57
5501;31093;2020;10;-37776,01
5501;34193;2020;10;-1153,04
5501;53315;2020;10;5553,93
5501;53665;2020;10;703,43
5501;53705;2020;10;415,67
5501;5377;2020;10;26,58
5501;5378;2020;10;175
5501;54315;2020;10;1122,48
5501;54330;2020;10;106,3
5501;54415;2020;10;10842,41
5501;54500;2020;10;217,5
5501;54805;2020;10;267,95
5501;55315;2020;10;1096,67
5501;56315;2020;10;1435,93
5501;56325;2020;10;1572,06
5501;56465;2020;10;662,27
5501;57005;2020;10;2680,96
5501;58005;2020;10;1731,34
5501;59005;2020;10;10984,38
5501;60005;2020;10;604,39
5501;6110;2020;10;-1553,15
5501;61105;2020;10;89,08
5501;6213;2020;10;216,47
5501;64605;2020;10;2901,99
5501;64625;2020;10;1065,81
5501;65325;2020;10;103,07
5501;65725;2020;10;1012,52
5501;6871;2020;10;80,15
5501;68710;2020;10;862,78
5501;8700;2020;10;13,27
5502;31023;2020;10;-40260,4
5502;31093;2020;10;-6039,07
5502;53320;2020;10;306
5502;5360;2020;10;444
5502;53640;2020;10;1302,5
5502;5377;2020;10;49,13
5502;54310;2020;10;655
5502;54330;2020;10;689,22
5502;54410;2020;10;650
5502;54500;2020;10;379,23
5502;55310;2020;10;919
5502;57000;2020;10;722,29
5502;59000;2020;10;1347,64
5502;6110;2020;10;-2632,86
5502;61100;2020;10;728,13
5502;64600;2020;10;192,16
5502;65320;2020;10;704,91
5502;65330;2020;10;144,12
5502;65700;2020;10;850
5503;31023;2020;10;-228753,62
5503;32120;2020;10;-105238,46
5503;5377;2020;10;44,69
5503;5800;2020;10;2000
5504;31023;2020;10;-61763,48
5504;5377;2020;10;45,42
5504;5800;2020;10;1200
5505;31023;2020;10;-143648,79
5505;53320;2020;10;209,41
5505;5377;2020;10;43,5
5505;65700;2020;10;1110
5505;65720;2020;10;4687,5
5506;13825;2020;10;-276,82
5506;31023;2020;10;-24059,13
5506;31033;2020;10;-32919,44
5506;31043;2020;10;-5687,85
5506;31093;2020;10;-6486,46
5506;5377;2020;10;46,36
5506;54315;2020;10;543,15
5506;54415;2020;10;576,11
5506;54455;2020;10;598,87
5506;54645;2020;10;360,77
5506;54915;2020;10;65,22
5506;56315;2020;10;771,64
5506;57005;2020;10;3090,81
5506;59005;2020;10;1696,32
5506;6110;2020;10;-670,81
5506;61105;2020;10;104,36
5506;6230;2020;10;500
5506;65505;2020;10;294,12
5506;65705;2020;10;2173,6
5506;67505;2020;10;3722,68
5507;31023;2020;10;-86567,57
5507;31093;2020;10;-17711,67
5507;5377;2020;10;55,07
5507;54310;2020;10;10103,61
5507;54410;2020;10;212,47
5507;54480;2020;10;802
5507;54640;2020;10;3,35
5507;54910;2020;10;9,68
5507;57000;2020;10;2055,75
5507;59000;2020;10;3283,51
5507;60400;2020;10;394,28
5507;6110;2020;10;-1094,72
5507;61100;2020;10;110,85
5507;6180;2020;10;37
5507;65460;2020;10;1695,73
5508;31023;2020;10;-94460,84
5508;31043;2020;10;-620
5508;31080;2020;10;-10200
5508;31083;2020;10;-5476,36
5508;31093;2020;10;-16412,5
5508;32010;2020;10;-4475,04
5508;32060;2020;10;-41645,64
5508;32190;2020;10;-154,65
5508;34193;2020;10;-1477,71
5508;53310;2020;10;5127
5508;5377;2020;10;60,26
5508;54310;2020;10;3583
5508;54410;2020;10;1329,28
5508;54450;2020;10;233,64
5508;54470;2020;10;151,42
5508;54490;2020;10;320,23
5508;54500;2020;10;318,7
5508;54640;2020;10;41,45
5508;55310;2020;10;4837,92
5508;55320;2020;10;674,29
5508;56310;2020;10;5083,88
5508;56800;2020;10;1149,7
5508;57000;2020;10;2491,26
5508;58000;2020;10;844,65
5508;59000;2020;10;8148,41
5508;60000;2020;10;603,39
5508;6110;2020;10;-353,49
5508;61100;2020;10;34,28
5508;64620;2020;10;282,95
5508;64700;2020;10;124,94
5508;65500;2020;10;8035,22
5508;65720;2020;10;597
5508;67500;2020;10;2567,6
5508;8028;2020;10;-0,98
5509;31023;2020;10;-53751,2
5509;31093;2020;10;-7732,2
5509;53310;2020;10;5211
5509;5360;2020;10;443,99
5509;5377;2020;10;54,34
5509;54310;2020;10;1931,78
5509;5441;2020;10;100
5509;54410;2020;10;1164,11
5509;54490;2020;10;430
5509;54640;2020;10;20,2
5509;56310;2020;10;595,36
5509;57000;2020;10;1832,6
5509;5800;2020;10;1102,5
5509;58000;2020;10;489,98
5509;59000;2020;10;2693,5
5509;60000;2020;10;163,12
5509;60800;2020;10;70,9
5509;6110;2020;10;220,02
5509;61100;2020;10;122,19
5509;64620;2020;10;2500
5509;65410;2020;10;120,7
5509;65500;2020;10;656,4
5510;31023;2020;10;-99525,68
5510;31093;2020;10;-10655,8
5510;31320;2020;10;7991,85
5510;53310;2020;10;936
5510;5377;2020;10;92,93
5510;6110;2020;10;-629,18
5510;61100;2020;10;98,9
5510;8028;2020;10;-4,68
5511;13820;2020;10;-156001,64
5511;13960;2020;10;508695,9
5511;31020;2020;10;-26,5
5511;31023;2020;10;-97450,02
5511;31043;2020;10;-298,67
5511;31093;2020;10;-34805,02
5511;32010;2020;10;-1252,44
5511;32060;2020;10;-7921,25
5511;32190;2020;10;-657,14
5511;34193;2020;10;-2572,01
5511;53315;2020;10;5045,65
5511;5377;2020;10;69,06
5511;53830;2020;10;-15474,54
5511;53835;2020;10;4345,69
5511;5389;2020;10;553,8
5511;54315;2020;10;1578,4
5511;54415;2020;10;5573,67
5511;54455;2020;10;2987,47
5511;54475;2020;10;402,26
5511;54485;2020;10;1345,79
