Nimi;Kustannuspaikan numero;Market Value EUR;Market Rent Growth Rate;General Vacancy Rate-%;TI Cost /sqm (or /pcs);Idle time (months);Leasing Commission (% of first year rental income);Extension Length (months);Opex Growth Rate;Sale Price Growth Rate;Hankintapäivämäärä;Acquisition price;Divestointipäivämäärä;Exit price;Exit Vacancy Rate;Exit Cap Rate;Repairs EUR/m2/kk;Capex EUR/m2/kk
5523 Kiinteistö Oy Espoon Martinsillantie 10;5523;49900000.00;Change of market rents (%);0.05;100.00;5.00;0.08;60.00;Change of expenses (%);;01.03.2017;45691914.00;;;0.05;0.06;;0.90
5502 Kiinteistö Oy Keravan Peltomäenkatu 2-4;5502;7000000.00;Change of market rents (%);0.05;100.00;3.00;0.08;84.00;Change of expenses (%);;01.01.2015;6200000.00;;;0.05;0.07;;0.60
5503 Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 6-8;5503;40900000.00;Change of market rents (%);0.07;100.00;3.00;0.00;120.00;Change of expenses (%);;28.05.2015;38000000.00;;;0.07;0.07;;0.90
5504 Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 10;5504;10100000.00;Change of market rents (%);0.05;100.00;3.00;0.00;120.00;Change of expenses (%);;28.05.2015;10000000.00;;;0.05;0.08;;0.60
5505 Kiinteistö Oy Seinäjoen Päivölänkatu 40;5505;24500000.00;Change of market rents (%);0.05;100.00;3.00;0.00;120.00;Change of expenses (%);;01.07.2015;21800000.00;;;0.05;0.07;;0.60
5506 Kiinteistö Oy Tampereen Kauppakatu 4;5506;10400000.00;Change of market rents (%);0.05;100.00;3.00;0.08;60.00;Change of expenses (%);;02.07.2015;9300000.00;;;0.05;0.06;;0.90
5507 Kiinteistö Oy Tampereen Taninkatu 1;5507;14800000.00;Change of market rents (%);0.05;100.00;3.00;0.08;120.00;Change of expenses (%);;01.10.2015;14100000.00;;;0.05;0.07;;0.90
5508 Kiinteistö Oy Helsingin Panuntie 4;5508;21800000.00;Change of market rents (%);0.07;50.00;3.00;0.08;36.00;Change of expenses (%);;02.10.2015;20200000.00;;;0.07;0.06;;0.90
5509 Kiinteistö Oy Nokian Nuijamiestentie 9;5509;8800000.00;Change of market rents (%);0.07;100.00;5.00;0.08;36.00;Change of expenses (%);;16.12.2015;8850000.00;;;0.07;0.08;;0.60
5510 Kiinteistö Oy Salon Hämeentie 24;5510;18400000.00;Change of market rents (%);0.05;100.00;3.00;0.00;120.00;Change of expenses (%);;07.01.2016;14994000.00;;;0.05;0.06;;0.90
5512 Kiinteistö Oy Ylöjärven Elotie 9;5512;10100000.00;Change of market rents (%);0.05;100.00;3.00;0.00;120.00;Change of expenses (%);;01.04.2016;9065000.00;;;0.05;0.07;;0.25
5513 Kiinteistö Oy Espoon Sinikalliontie 1;5513;35000000.00;Change of market rents (%);0.04;100.00;3.00;0.04;60.00;Change of expenses (%);;29.04.2016;32500000.00;;;0.04;0.06;;0.90
