Nimi;Rahasto;Kustannuspaikan numero;Kohteen nimi;Kaupallinen nimi;State;Tyyppi (Kustannuspaikka);Kohteen status;Hankintaprosessi;Omistustyyppi;Kiinteistökohteen tyyppi;Grades;Lisätieto;Arvioitsija;Kohdevastaava;Kohdepäällikkö / PM;Omistusosuus kohteesta (%);ALV-aste (%);Vuokrauksen prioriteetti;Ylläpidon tyyppi;Ylläpitovuokrat;Autopaikat lkm yhteensä;Paikka lkm (hoiva/päiväkoti);Huoneisto lkm (hoiva);Asuntojen lukumäärä;Myyntiprosessi;Osoite;Country;City;Region;Submarket;Postinumero;Property type;Maan omistus;Vuokralaiskonserni;Arviokirja-arvo (hankintahetki);Arvioitu valmistuminen;Vahvistettu valmistuminen;Vuokratyyppi
5523 Kiinteistö Oy Espoon Martinsillantie 10;eQ Liikekiinteistöt;5523;Kiinteistö Oy Espoon Martinsillantie 10;Kauppakeskus Liila;g. Omistuksessa;Omistuksessa;Rakennukset valmiina, aktiivinen vuokraus;Milan;Keskinäinen Kiinteistö Oy;Erikoiskauppojen keskus;A (12-10);Holding-struktuuri purettu. Hankintaprosessi Milan, myyjänä Genesta;JLL / Liikekiinteistöt;Sirpa Lamminluoto;Olli-Pekka Kari;100.00;100.00;1. tärkein;Vuokranantaja hoitaa, ns. lämmin;Kaikki vuokralaiset ylläpitovuokravelvollisia;498;;;;;Martinsillantie 10;Finland;Espoo;Helsinki metropolitan area;Suomenoja;02270;Building;Omistustontti/kiinteistö;Monia vuokralaisia / Multi Tenant;;;;Jaettu vuokra (Divided Net Rent)
5502 Kiinteistö Oy Keravan Peltomäenkatu 2-4;eQ Liikekiinteistöt;5502;Kiinteistö Oy Keravan Peltomäenkatu 2-4;;h. Myyntiprosessi (luottamuksellinen);Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Erikoiskauppojen keskus;A (12-10);;JLL / Liikekiinteistöt;Sirpa Lamminluoto;Laura Pitkänen;100.00;100.00;4. passiivinen;Vuokranantaja hoitaa, ns. lämmin;Kaikki vuokralaiset ylläpitovuokravelvollisia;;;;;Simeon;Peltomäenkatu 2-4;Finland;Kerava;Helsinki neighbouring area;Kerava all;04250;Building;Omistustontti/kiinteistö;"JYSK OY; Tokmanni Oy";;;;Jaettu vuokra (Divided Net Rent)
5503 Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 6-8;eQ Liikekiinteistöt;5503;Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 6-8;K-Citymarket Tiiriö;g. Omistuksessa;Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Päivittäistavara;A (12-10);;JLL / Liikekiinteistöt;Tommi Terho;Laura Pitkänen;100.00;100.00;4. passiivinen;Vuokralainen hoitaa, ns. kylmä;;;;;;;Katsastusmiehentie 6;Finland;Hämeenlinna;Hämeenlinna area;Hämeenlinna all;13130;Building;Omistustontti/kiinteistö;Kesko Oyj;;;;Triple-net (Triple Net)
5504 Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 10;eQ Liikekiinteistöt;5504;Kiinteistö Oy Hämeenlinnan Katsastusmiehentie 10;K-Rauta Tiiriö;g. Omistuksessa;Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Erikoiskauppojen keskus;A (12-10);;JLL / Liikekiinteistöt;Tommi Terho;Laura Pitkänen;100.00;100.00;4. passiivinen;Vuokralainen hoitaa, ns. kylmä;;;;;;;Katsastusmiehentie 6;Finland;Hämeenlinna;Hämeenlinna area;Hämeenlinna all;13130;Building;Omistustontti/kiinteistö;Kesko Oyj;;;;Triple-net (Triple Net)
5505 Kiinteistö Oy Seinäjoen Päivölänkatu 40;eQ Liikekiinteistöt;5505;Kiinteistö Oy Seinäjoen Päivölänkatu 40;K-Citymarket Päivölä;h. Myyntiprosessi (luottamuksellinen);Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Päivittäistavara;A (12-10);Ent. Väinämöisenkatu;JLL / Liikekiinteistöt;Kimmo Alaharju;Lasse Alhonen;100.00;100.00;4. passiivinen;Vuokralainen hoitaa, ns. kylmä;;;;;;Simeon;Päivölänkatu 40;Finland;Seinäjoki;Seinäjoki;Seinäjoki all;60120;Building;Omistustontti/kiinteistö;Kesko Oyj;;;;Triple-net (Triple Net)
5506 Kiinteistö Oy Tampereen Kauppakatu 4;eQ Liikekiinteistöt;5506;Kiinteistö Oy Tampereen Kauppakatu 4;;g. Omistuksessa;Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Toimisto;A (12-10);;JLL / Liikekiinteistöt;Tommi Terho;Sami Meskanen;100.00;36.08;4. passiivinen;Vuokranantaja hoitaa, ns. lämmin;Kohteessa osalla ylläpitovuokria;;;;;;Kauppakatu 4;Finland;Tampere;Tampere area;Tampere all;33210;Building;Omistustontti/kiinteistö;"Asianajotoimisto Borenius Oy; Nordea Bank Oyj; Peab Oy";;;;Sekalainen (Other)
5507 Kiinteistö Oy Tampereen Taninkatu 1;eQ Liikekiinteistöt;5507;Kiinteistö Oy Tampereen Taninkatu 1;XXL ja Power;g. Omistuksessa;Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Erikoiskauppojen keskus;A (12-10);;JLL / Liikekiinteistöt;Tommi Terho;Sami Meskanen;100.00;100.00;4. passiivinen;Vuokranantaja hoitaa, ns. lämmin;Kaikki vuokralaiset ylläpitovuokravelvollisia;143;;;;;Taninkatu 1;Finland;Tampere;Tampere area;Tampere all;33400;Building;Omistustontti/kiinteistö;"Power Finland Oy; XXL Sports &  Outdoor Oy";;;;Jaettu vuokra (Divided Net Rent)
5508 Kiinteistö Oy Helsingin Panuntie 4;eQ Liikekiinteistöt;5508;Kiinteistö Oy Helsingin Panuntie 4;Satotalo;g. Omistuksessa;Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Toimisto;A (12-10);;JLL / Liikekiinteistöt;Nina Salo;Olli-Pekka Kari;100.00;100.00;2. korkea;Vuokranantaja hoitaa, ns. lämmin;;;;;;;Panuntie 4;Finland;Helsinki;Helsinki metropolitan area;North Helsinki;00620;Building;Omistustontti/kiinteistö;SATO Oyj;;;;Jaettu vuokra (Divided Net Rent)
5509 Kiinteistö Oy Nokian Nuijamiestentie 9;eQ Liikekiinteistöt;5509;Kiinteistö Oy Nokian Nuijamiestentie 9;Viholan Liikekeskus;h. Myyntiprosessi (luottamuksellinen);Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Lähipalvelukeskus;A (12-10);;JLL / Liikekiinteistöt;Tommi Terho;Lasse Alhonen;100.00;100.00;1. tärkein;Vuokranantaja hoitaa, ns. lämmin;Kaikki vuokralaiset ylläpitovuokravelvollisia;259;;;;Simeon;Nuijamiestentie 9;Finland;Nokia;Tampere area;Nokia all;37120;Building;Omistustontti/kiinteistö;"Tokmanni Oy; JYSK OY; Nokian kaupunki Tilapalvelut; Monia vuokralaisia / Multi Tenant";;;;Jaettu vuokra (Divided Net Rent)
5510 Kiinteistö Oy Salon Hämeentie 24;eQ Liikekiinteistöt;5510;Kiinteistö Oy Salon Hämeentie 24;K-Citymarket Salo;g. Omistuksessa;Omistuksessa;Rakennus/rakennukset valmiita, normaali manageeraus;;Keskinäinen Kiinteistö Oy;Päivittäistavara;A (12-10);;JLL / Liikekiinteistöt;Nina Salo;Juhana Mustonen;100.00;100.00;4. passiivinen;Vuokralainen hoitaa, ns. kylmä;;;;;;;Hämeentie 24-30;Finland;Salo;Turku area;Salo all;24100;Building;Omistustontti/kiinteistö;Kesko Oyj;;;;Double-net (Double Net)
