eQkpaikka;tili;Kausi;period;eur
1001;31023;2020;10;-4869,15
1001;31023;2020;11;-4869,15
1001;31023;2020;12;-4869,15
1001;31023;2021;1;-4869,3
1001;31023;2021;2;-4869,3
1001;31023;2021;3;-4869,3
1001;31023;2021;4;-4869,3
1001;31023;2021;5;-4869,3
1001;31023;2021;6;-4869,3
1001;31023;2021;7;-4869,3
1001;31023;2021;8;-4869,3
1001;5331;2020;10;110
1001;5331;2020;11;110
1001;5331;2020;12;110
1001;5331;2021;7;153,41
1001;6110;2020;10;72,5
1001;6110;2020;11;72,5
1001;6110;2020;12;72,5
1001;6110;2021;1;969,18
1001;6211;2020;10;391,67
1001;6211;2020;11;391,67
1001;6211;2020;12;391,67
1001;6211;2021;6;4723,43
1001;6300;2020;10;158,33
1001;6300;2020;11;158,33
1001;6300;2020;12;158,33
1002;31023;2020;10;-4013,92
1002;31023;2020;11;-4013,92
1002;31023;2020;12;-4013,92
1002;31023;2021;1;-3987,6
1002;31023;2021;2;-3987,6
1002;31023;2021;3;-3987,6
1002;31023;2021;4;-3987,6
1002;31023;2021;5;-3987,6
1002;31023;2021;6;-3987,6
1002;31023;2021;7;-3987,6
1002;31023;2021;8;-3987,6
1002;31323;2020;10;-176,23
1002;31323;2020;11;-176,23
1002;31323;2020;12;-176,23
1002;31323;2021;5;-1067,11
1002;32123;2020;10;-146,29
1002;32123;2020;11;-146,29
1002;32123;2020;12;-146,29
1002;5331;2020;10;110
1002;5331;2020;11;110
1002;5331;2020;12;110
1002;5331;2021;1;153,41
1002;5331;2021;7;153,41
1002;6110;2020;10;58,33
1002;6110;2020;11;58,33
1002;6110;2020;12;58,33
1002;6211;2020;10;175,83
1002;6211;2020;11;175,83
1002;6211;2020;12;175,83
1002;6211;2021;4;1067,11
1002;6300;2020;10;158,33
1002;6300;2020;11;158,33
1002;6300;2020;12;158,33
1003;31023;2020;10;-6414,85
1003;31023;2020;11;-6414,85
1003;31023;2020;12;-6414,85
1003;31023;2021;1;-6415,06
1003;31023;2021;2;-6415,06
1003;31023;2021;3;-6415,06
1003;31023;2021;4;-6415,06
1003;31023;2021;5;-6415,06
1003;31023;2021;6;-6415,06
1003;31023;2021;7;-6515,06
1003;31023;2021;8;-6515,06
1003;32133;2021;2;-153,41
1003;32133;2021;6;-697,39
1003;5331;2020;10;110
1003;5331;2020;11;110
1003;5331;2020;12;110
1003;5331;2021;1;153,41
1003;5331;2021;6;153,41
1003;5900;2021;6;697,39
1003;5900;2021;8;-14,72
1003;6110;2020;10;81,67
1003;6110;2020;11;81,67
1003;6110;2020;12;81,67
1003;6110;2021;1;1077,94
1003;6211;2020;10;250
1003;6211;2020;11;250
1003;6211;2020;12;250
1003;6211;2021;4;1422,81
1003;6300;2020;10;208,33
1003;6300;2020;11;208,33
1003;6300;2020;12;208,33
1003;6750;2020;10;2500
1003;6750;2020;11;2500
1003;6750;2020;12;2500
1005;31023;2020;10;-4201,65
1005;31023;2020;11;-4201,65
1005;31023;2020;12;-4201,65
1005;31023;2021;1;-4201,78
1005;31023;2021;2;-4201,78
1005;31023;2021;3;-4201,78
1005;31023;2021;4;-4201,78
1005;31023;2021;5;-4201,78
1005;31023;2021;6;-4201,78
1005;31023;2021;7;-4201,78
1005;31023;2021;8;-4201,78
1005;5331;2020;10;110
1005;5331;2020;11;110
1005;5331;2020;12;110
1005;5331;2021;1;153,41
1005;5360;2021;5;269,08
1005;5360;2021;6;1350
1005;6110;2020;10;53,33
1005;6110;2020;11;53,33
1005;6110;2020;12;53,33
1005;6110;2021;1;697,3
1005;6211;2020;10;166,67
1005;6211;2020;11;166,67
1005;6211;2020;12;166,67
1005;6211;2021;3;1001,08
1005;6300;2020;10;116,67
1005;6300;2020;11;116,67
1005;6300;2020;12;116,67
1006;31023;2020;10;-9840,75
1006;31023;2020;11;-9840,75
1006;31023;2020;12;-9840,75
1006;31023;2021;1;-9841,07
1006;31023;2021;2;-9841,07
1006;31023;2021;3;-9841,07
1006;31023;2021;4;-9841,07
1006;31023;2021;5;-9841,07
1006;31023;2021;6;-9841,07
1006;31023;2021;7;-9841,07
1006;31023;2021;8;-9841,07
1006;31323;2020;10;-324,96
1006;31323;2020;11;-324,96
1006;31323;2020;12;-324,96
1006;31323;2021;7;-3935,32
1006;32123;2020;10;-326,31
1006;32123;2020;11;-326,31
1006;32123;2020;12;-326,31
1006;32133;2020;10;-35
1006;32133;2020;11;-35
1006;32133;2020;12;-35
1006;32133;2021;2;-153,41
1006;32133;2021;4;-420
1006;5331;2020;10;110
1006;5331;2020;11;110
1006;5331;2020;12;110
1006;5331;2021;1;153,41
1006;5331;2021;6;153,41
1006;6110;2020;10;70,83
1006;6110;2020;11;70,83
1006;6110;2020;12;70,83
1006;6211;2020;10;333,33
1006;6211;2020;11;333,33
1006;6211;2020;12;333,33
1006;6211;2021;8;3935,32
1006;6300;2020;10;333,33
1006;6300;2020;11;333,33
1006;6300;2020;12;333,33
1006;6800;2021;3;420
1006;6900;2021;5;3348
1007;31023;2020;10;-9031,01
1007;31023;2020;11;-9031,01
1007;31023;2020;12;-9031,01
1007;31023;2021;1;-9031,31
1007;31023;2021;2;-9031,31
1007;31023;2021;3;-9031,31
1007;31023;2021;4;-9031,31
1007;31023;2021;5;-9031,31
1007;31023;2021;6;-9031,31
1007;31023;2021;7;-9031,31
1007;31023;2021;8;-9031,31
1007;31323;2020;10;-251,09
1007;31323;2020;11;-251,09
1007;31323;2020;12;-251,09
1007;31323;2021;6;-3043,98
1007;32123;2020;10;-314,87
1007;32123;2020;11;-314,87
1007;32123;2020;12;-314,87
1007;32133;2021;2;-153,41
1007;5331;2020;10;110
1007;5331;2020;11;110
1007;5331;2020;12;110
1007;5331;2021;1;153,41
1007;5331;2021;6;153,41
1007;6110;2020;10;58,33
1007;6110;2020;11;58,33
1007;6110;2020;12;58,33
1007;6211;2020;10;258,33
1007;6211;2020;11;258,33
1007;6211;2020;12;258,33
1007;6211;2021;5;3043,98
1007;6300;2020;10;416,67
1007;6300;2020;11;416,67
1007;6300;2020;12;416,67
1007;6900;2021;4;37787,71
1008;31023;2020;10;-9031,01
1008;31023;2020;11;-9031,01
1008;31023;2020;12;-9031,01
1008;31023;2021;1;-9031,31
1008;31023;2021;2;-9031,31
1008;31023;2021;3;-9031,31
1008;31023;2021;4;-9031,31
1008;31023;2021;5;-9031,31
1008;31023;2021;6;-9031,31
1008;31023;2021;7;-9031,31
1008;31023;2021;8;-9031,31
1008;31323;2021;7;-3913,08
1008;32133;2021;2;-153,41
1008;32133;2021;4;-420
1008;5331;2020;10;110
1008;5331;2020;11;110
1008;5331;2020;12;110
1008;5331;2021;6;153,41
1008;6110;2020;10;72,5
1008;6110;2020;11;72,5
1008;6110;2020;12;72,5
1008;6211;2021;8;3913,08
1008;6800;2021;3;420
1008;6900;2021;2;3363,33
1008;6900;2021;3;647,16
1008;6900;2021;4;1475,6
1008;6900;2021;5;61416,6
1008;6900;2021;7;827,09
1009;31023;2020;10;-9031,01
1009;31023;2020;11;-9031,01
1009;31023;2020;12;-9031,01
1009;31023;2021;1;-9031,31
1009;31023;2021;2;-9031,31
1009;31023;2021;3;-9031,31
1009;31023;2021;4;-9031,31
1009;31023;2021;5;-9031,31
1009;31023;2021;6;-9031,31
1009;31023;2021;7;-9031,31
1009;31023;2021;8;-9031,31
1009;31323;2021;5;-3795,09
1009;32133;2021;2;-153,41
1009;32133;2021;6;-983,74
1009;5331;2020;10;110
1009;5331;2020;11;110
1009;5331;2020;12;110
1009;5331;2021;1;153,41
1009;5331;2021;6;153,41
1009;5900;2021;6;983,74
1009;5900;2021;8;-19,01
1009;6110;2020;10;108,33
1009;6110;2020;11;108,33
1009;6110;2020;12;108,33
1009;6211;2020;10;625
1009;6211;2020;11;625
1009;6211;2020;12;625
1009;6211;2021;4;3795,09
1009;6900;2021;4;3348
1010;31023;2020;10;-39859,43
1010;31023;2020;11;-39859,43
1010;31023;2020;12;-39859,43
1010;31023;2021;1;-40714,88
1010;31023;2021;2;-40714,88
1010;31023;2021;3;-40714,88
1010;31023;2021;4;-40714,88
1010;31023;2021;5;-40714,88
1010;31023;2021;6;-40714,88
