eQkpaikka;tili;Kausi;period;eur
5501;13825;2021;1;24,01
5501;13825;2021;6;-24,01
5501;1396;2021;2;597120,48
5501;1396;2021;3;9090,87
5501;1396;2021;4;3063,18
5501;1396;2021;5;136,4
5501;1396;2021;6;1103,6
5501;1396;2021;7;136,4
5501;1396;2021;8;136,4
5501;1396;2021;9;136,4
5501;1716;2021;1;-248
5501;1716;2021;2;7960,8
5501;1716;2021;3;-7836,8
5501;1716;2021;4;16,07
5501;1716;2021;5;-140,07
5501;1716;2021;6;323,95
5501;1716;2021;7;-323,95
5501;1716;2021;8;921,82
5501;1716;2021;9;-921,82
5501;1773;2021;1;1936,48
5501;1773;2021;2;-149108,74
5501;1790;2021;7;34388,53
5501;1790;2021;9;-17194,27
5501;1793;2021;2;5994,1
5501;1793;2021;5;-1974,71
5501;1793;2021;8;-2009,69
5501;1910;2021;1;63312,56
5501;1910;2021;2;84139,52
5501;1910;2021;3;-72002,4
5501;1910;2021;4;-8577,19
5501;1910;2021;5;3050,04
5501;1910;2021;6;-15604,91
5501;1910;2021;7;-21599,7
5501;1910;2021;8;9173,75
5501;1910;2021;9;22642,9
5501;2590;2021;1;-900000
5501;2590;2021;3;-100000
5501;2599;2021;2;-16097,23
5501;2599;2021;3;-180,55
5501;2599;2021;5;-17312,5
5501;2599;2021;8;-17312,5
5501;2850;2021;1;300014,13
5501;2850;2021;2;-183200,7
5501;2850;2021;3;183771,1
5501;2850;2021;4;7630,22
5501;2850;2021;5;-1017,29
5501;2850;2021;6;1017,29
5501;2850;2021;7;-6135,13
5501;2850;2021;8;-2175,07
5501;2850;2021;9;6639,59
5501;2890;2021;2;45486,23
5501;2950;2021;1;248
5501;2970;2021;1;145151,02
5501;2970;2021;2;-6272,69
5501;2970;2021;3;-2225,44
5501;2970;2021;4;4986,76
5501;2970;2021;5;1522,49
5501;2970;2021;6;-1972,72
5501;2970;2021;7;-56,7
5501;2970;2021;8;1575,62
5501;2970;2021;9;-3382,37
5501;2980;2021;2;-18091,88
5501;2980;2021;5;-16296,65
5501;2980;2021;6;34388,53
5501;2980;2021;8;-17194,27
5501;2980;2021;9;17194,27
5501;3005;2021;1;-14799,96
5501;3005;2021;2;-14799,96
5501;3005;2021;3;-14799,96
5501;3005;2021;4;-14799,96
5501;3005;2021;5;-14799,96
5501;3005;2021;6;-13553,87
5501;3005;2021;7;-13553,87
5501;3005;2021;8;-14208,6
5501;3005;2021;9;-14208,6
5501;30050;2021;1;-30645,55
5501;30050;2021;2;-30645,55
5501;30050;2021;3;-30645,55
5501;30050;2021;4;-30645,55
5501;30050;2021;5;-30645,55
5501;30050;2021;6;-31650,46
5501;30050;2021;7;-31650,46
5501;30050;2021;8;-31122,45
5501;30050;2021;9;-31122,45
5501;3009;2021;2;-6256,3
5501;30090;2021;2;-12954,6
5501;31023;2020;10;-89568,7
5501;31023;2020;11;-89568,7
5501;31023;2020;12;-89568,7
5501;31023;2021;1;-89006,7
5501;31023;2021;2;-99617,61
5501;31023;2021;3;-99617,61
5501;31023;2021;4;-99617,61
5501;31023;2021;5;-99700,64
5501;31023;2021;6;-99700,64
5501;31023;2021;7;-99916,55
5501;31023;2021;8;-99916,55
